398.52249	351
398.59955	342
398.67664	337
398.75369	335
398.83075	337
398.90784	330
398.98489	323
399.06195	347
399.13904	346
399.21609	337
399.29315	346
399.37024	336
399.4473	340
399.52435	326
399.60141	334
399.6785	346
399.75555	338
399.83261	341
399.9097	351
399.98676	342
400.06381	351
400.14087	329
400.21796	354
400.29501	340
400.37207	337
400.44913	347
400.52618	344
400.60327	329
400.68033	329
400.75739	331
400.83444	332
400.91153	354
400.98859	331
401.06564	330
401.1427	331
401.21976	348
401.29681	327
401.3739	337
401.45096	336
401.52802	335
401.60507	332
401.68213	349
401.75919	341
401.83624	340
401.91333	346
401.99039	327
402.06744	338
402.1445	341
402.22156	347
402.29861	336
402.37567	338
402.45273	350
402.52979	329
402.60684	335
402.6839	346
402.76096	344
402.83801	341
402.91507	342
402.99216	344
403.06921	341
403.14627	353
403.22333	330
403.30038	351
403.37744	340
403.4545	341
403.53156	334
403.60861	332
403.68567	340
403.7627	346
403.83975	339
403.91681	339
403.99387	357
404.07092	340
404.14798	327
404.22504	333
404.30209	350
404.37915	334
404.45621	346
404.53326	331
404.61032	341
404.68738	355
404.7644	344
404.84146	329
404.91852	343
404.99557	336
405.07263	351
405.14969	335
405.22675	342
405.30377	341
405.38083	345
405.45789	350
405.53494	348
405.612	338
405.68903	331
405.76608	345
405.84314	344
405.9202	354
405.99725	336
406.07428	351
406.15134	350
406.22839	338
406.30545	341
406.38248	334
406.45953	340
406.53659	345
406.61365	350
406.69067	336
406.76773	338
406.84479	336
406.92181	343
406.99887	340
407.07593	346
407.15295	343
407.23001	347
407.30707	337
407.38409	341
407.46115	340
407.53821	344
407.61523	346
407.69229	351
407.76932	337
407.84637	339
407.92343	330
408.00046	353
408.07751	343
408.15454	338
408.2316	347
408.30862	343
408.38568	341
408.46271	346
408.53976	360
408.61679	358
408.69385	342
408.77087	338
408.84793	355
408.92496	345
409.00201	344
409.07904	357
409.1561	368
409.23312	353
409.31018	361
409.38721	356
409.46426	354
409.54129	455
409.61835	896
409.69537	2193
409.7724	3696
409.84946	4082
409.92648	3081
410.00351	1862
410.08057	1150
410.15759	831
410.23465	633
410.31168	519
410.3887	433
410.46576	389
410.54279	376
410.61981	368
410.69687	350
410.7739	366
410.85092	352
410.92795	358
411.005	347
411.08203	349
411.15906	359
411.23608	345
411.31314	350
411.39017	344
411.46719	346
411.54422	341
411.62128	361
411.6983	350
411.77533	336
411.85236	356
411.92938	349
412.00641	359
412.08347	353
412.16049	347
412.23752	348
412.31454	349
412.39157	343
412.4686	353
412.54562	357
412.62265	359
412.69971	357
412.77673	367
412.85376	354
412.93079	354
413.00781	360
413.08484	352
413.16187	360
413.23889	380
413.31592	360
413.39294	358
413.46997	369
413.547	369
413.62402	366
413.70105	387
413.77808	362
413.8551	374
413.93213	379
414.00916	396
414.08618	395
414.16318	392
414.2402	411
414.31723	412
414.39426	420
414.47128	425
414.54831	462
414.62534	462
414.70236	491
414.77936	519
414.85638	537
414.93341	549
415.01044	590
415.08746	629
415.16449	668
415.24149	723
415.31851	783
415.39554	808
415.47256	860
415.54956	970
415.62659	974
415.70361	1007
415.78064	1009
415.85764	1010
415.93466	993
416.01169	1001
416.08868	969
416.16571	985
416.24274	980
416.31973	932
416.39676	864
416.47379	884
416.55078	871
416.62781	903
416.70483	940
416.78183	1029
416.85886	1040
416.93585	1088
417.01288	1110
417.08987	1134
417.1669	1176
417.2439	1237
417.32092	1294
417.39795	1253
417.47495	1223
417.55197	1166
417.62897	1050
417.70599	1008
417.78299	944
417.85999	850
417.93701	774
418.01401	733
418.09103	694
418.16803	639
418.24506	620
418.32205	594
418.39905	574
418.47607	573
418.55307	543
418.6301	535
418.70709	507
418.78409	527
418.86111	515
418.93811	509
419.01511	512
419.0921	512
419.16913	496
419.24612	506
419.32312	513
419.40015	514
419.47714	526
419.55414	541
419.63113	545
419.70813	535
419.78516	576
419.86215	571
419.93915	593
420.01614	580
420.09314	589
420.17017	594
420.24716	572
420.32416	584
420.40115	583
420.47815	594
420.55515	596
420.63214	602
420.70914	588
420.78613	593
420.86313	586
420.94016	593
421.01715	573
421.09415	600
421.17114	587
421.24814	610
421.32513	601
421.40213	596
421.47913	600
421.55612	601
421.63309	606
421.71008	600
421.78708	608
421.86407	604
421.94107	602
422.01807	612
422.09506	616
422.17206	581
422.24905	606
422.32605	596
422.40302	606
422.48001	593
422.55701	608
422.634	600
422.711	578
422.78796	590
422.86496	591
422.94196	586
423.01895	590
423.09592	573
423.17291	583
423.24991	606
423.3269	595
423.40387	582
423.48087	594
423.55786	585
423.63483	567
423.71182	605
423.78882	601
423.86578	591
423.94278	589
424.01974	604
424.09674	592
424.17374	585
424.2507	590
424.3277	601
424.40466	613
424.48166	580
424.55862	612
424.63562	614
424.71259	617
424.78958	606
424.86655	622
424.94354	621
425.02051	618
425.0975	624
425.17447	624
425.25146	614
425.32843	638
425.4054	629
425.48239	632
425.55936	636
425.63632	630
425.71332	622
425.79028	619
425.86725	639
425.94424	646
426.02121	626
426.09818	638
426.17517	645
426.25214	642
426.3291	641
426.40607	652
426.48306	647
426.56003	654
426.63699	650
426.71396	668
426.79092	673
426.86792	668
426.94489	682
427.02185	660
427.09882	666
427.17578	675
427.25275	694
427.32971	671
427.40668	695
427.48367	693
427.56064	732
427.6376	690
427.71457	702
427.79153	691
427.8685	707
427.94547	691
428.02243	685
428.0994	704
428.17636	701
428.25333	687
428.33026	696
428.40723	688
428.48419	684
428.56116	680
428.63812	682
428.71509	685
428.79205	688
428.86902	680
428.94595	671
429.02292	675
429.09988	659
429.17685	670
429.25381	658
429.33075	661
429.40771	653
429.48468	663
429.56165	645
429.63858	629
429.71555	658
429.79251	665
429.86945	659
429.94641	671
430.02338	655
430.10031	676
430.17728	668
430.25424	678
430.33118	682
430.40814	701
430.48508	695
430.56204	676
430.63901	695
430.71594	701
430.79291	697
430.86984	701
430.94681	699
431.02374	708
431.10071	706
431.17764	727
431.25461	728
431.33154	713
431.40848	734
431.48544	736
431.56238	738
431.63934	734
431.71628	716
431.79321	735
431.87018	736
431.94711	726
432.02405	759
432.10101	751
432.17795	733
432.25488	736
432.33182	742
432.40878	751
432.48572	763
432.56265	774
432.63959	774
432.71652	781
432.79349	789
432.87042	785
432.94736	779
433.02429	796
433.10123	786
433.17816	811
433.2551	810
433.33203	821
433.409	840
433.48593	851
433.56287	857
433.6398	853
433.71674	854
433.79367	838
433.87061	853
433.94754	842
434.02448	831
434.10141	798
434.17831	828
434.25525	808
434.33218	817
434.40912	841
434.48605	796
434.56299	830
434.63992	817
434.71686	820
434.79376	839
434.8707	838
434.94763	840
435.02457	838
435.1015	875
435.17841	877
435.25534	840
435.33228	851
435.40918	864
435.48611	899
435.56305	880
435.63995	906
435.71689	933
435.79382	939
435.87073	943
435.94766	1016
436.0246	1003
436.1015	1041
436.17844	1097
436.25534	1111
436.33228	1214
436.40918	1276
436.48611	1357
436.56302	1404
436.63995	1558
436.71686	1670
436.79379	1863
436.8707	2074
436.94763	2271
437.02454	2581
437.10144	2887
437.17838	3309
437.25528	3605
437.33218	3703
437.40912	3910
437.48602	4249
437.56293	4904
437.63986	5527
437.71677	5760
437.79367	5373
437.87057	4585
437.94751	3731
438.02441	2964
438.10132	2336
438.17822	1910
438.25513	1642
438.33203	1430
438.40897	1302
438.48587	1171
438.56277	1095
438.63968	1034
438.71658	1003
438.79349	982
438.87039	968
438.9473	944
439.0242	928
439.1011	920
439.17801	938
439.25491	920
439.33182	902
439.40872	909
439.48563	911
439.56253	903
439.63943	909
439.71634	894
439.79321	931
439.87012	897
439.94702	909
440.02393	903
440.10083	936
440.17773	936
440.25461	931
440.33151	904
440.40842	926
440.48532	913
440.56219	935
440.6391	905
440.716	905
440.79288	890
440.86978	920
440.94669	893
441.02356	911
441.10046	900
441.17734	921
441.25424	914
441.33112	906
441.40802	916
441.48492	890
441.5618	922
441.6387	919
441.71558	923
441.79245	917
441.86935	933
441.94623	932
442.02313	943
442.10001	921
442.17691	936
442.25378	929
442.33066	948
442.40756	922
442.48444	940
442.56131	944
442.63818	938
442.71509	936
442.79196	957
442.86884	962
442.94571	970
443.02261	958
443.09949	964
443.17636	952
